File,Duration,Character,Action,Speak
00000 (0x0163).dsp.wav,1.488750,Daisy,win,"Yeah, i got it (win)",,X
00001 (0x0164).dsp.wav,1.993750,Daisy,loose,Aww mann (loose),,X
00002 (0x0165).dsp.wav,0.848750,Daisy,something good,Yeah!,,X
00003 (0x0166).dsp.wav,1.324000,Daisy,fall/die,AAhhhh! (falling),,X
00004 (0x0167).dsp.wav,1.706400,Daisy,win2,Oh yeah! I won!,,X
00170 (0x027D).dsp.wav,0.760200,Waluigi,yes,yes,,,
00171 (0x027E).dsp.wav,0.407550,Waluigi,damage1_long,,,,
00172 (0x027F).dsp.wav,0.171000,Waluigi,damage2_mid,,,,
00173 (0x0282).dsp.wav,0.247200,Waluigi,damage3_short,,,,
00174 (0x0283).dsp.wav,1.488750,Waluigi,sad1,,,,
00175 (0x0284).dsp.wav,0.879200,Waluigi,sad2,,,,
00176 (0x0285).dsp.wav,1.993750,Waluigi,chosen,,,,
00177 (0x0286).dsp.wav,0.303800,Waluigi,a!,,,,
00178 (0x0287).dsp.wav,1.291519,Waluigi,taunt,,,,
00179 (0x028B).dsp.wav,0.175000,Waluigi,jump1,,,,
00180 (0x028C).dsp.wav,0.197100,Waluigi,jump2,,,,
00181 (0x028D).dsp.wav,0.311750,Waluigi,jump3,,,,
00182 (0x028F).dsp.wav,1.498100,Yoshi,win,,,,
00183 (0x0290).dsp.wav,0.724150,Yoshi,loose,,,,
00184 (0x0291).dsp.wav,0.940300,Yoshi,something good,,,,
00185 (0x0292).dsp.wav,1.369600,Yoshi,fall/die,,,,
00186 (0x0293).dsp.wav,1.076100,Yoshi,win2,,,,
00187 (0x0294).dsp.wav,1.224950,Yoshi,something good2,,,,
00188 (0x0295).dsp.wav,0.701500,Yoshi,yes,waaa,,,
00189 (0x0296).dsp.wav,0.729300,Yoshi,damage1_long,,,,
00190 (0x0297).dsp.wav,0.385350,Yoshi,damage2_mid,,,,
00191 (0x029A).dsp.wav,0.385350,Yoshi,damage3_short,,,,
00192 (0x029B).dsp.wav,0.781400,Yoshi,sad1,,,,
00193 (0x029C).dsp.wav,0.494550,Yoshi,sad2,,,,
00194 (0x029D).dsp.wav,1.627700,Yoshi,chosen,,,,
00195 (0x029E).dsp.wav,0.164400,Yoshi,a!,,,,
00196 (0x029F).dsp.wav,1.498100,Yoshi,taunt,,,,
00197 (0x02A3).dsp.wav,0.233400,Yoshi,jump1,,,,
00198 (0x02A4).dsp.wav,0.253000,Yoshi,jump2,,,,
00199 (0x02A5).dsp.wav,0.189400,Yoshi,jump3
